6,50
7,51
8,52
9,53
10,54
11,55
12,56
87,148
88,149
210,288
211,289
0,29
1,30
220,300
217,303
244,328
245,329
246,330
247,331
248,332
249,333
250,334
251,335
252,336
253,337
254,338
255,339
256,340
257,341
258,342
259,343
260,344
261,345
262,346
263,347
264,348
265,349
266,350
267,351
268,352
269,353
270,354
271,355
272,356
273,357
274,358
275,359
276,360
277,361
278,362
279,363
280,364
281,365
282,366
283,367
284,368
285,369
286,370
287,371
288,372
289,373
290,374
291,375
292,376
293,377
294,378
295,379
296,380
297,381
298,382
299,383
300,384
301,385
302,386
303,387
304,388
305,389
306,390
307,391
308,392
309,393
310,394
311,395
312,396
313,397
314,398
315,399
316,400
317,401
318,402
319,403
320,404
321,405
322,406
323,407
324,408
325,409
326,410
327,411
328,412
329,413
330,414
331,415
332,416
333,417
334,418
335,419
336,420
337,421
338,422
339,423
340,424
341,425
342,426
343,427
344,428
345,429
346,430
347,431
348,432
349,433
350,434
351,435
352,436
353,437
354,438
355,439
356,440
357,441
358,442
359,443
360,444
361,445
362,446
363,447
364,448
365,449
366,450
367,451
368,452
369,453
370,454
371,455
372,456
373,457
374,458
375,459
376,460
377,461
378,462
379,463
380,464
381,465
382,466
383,467
384,468
385,469
386,470
387,471
388,472
389,473
390,474
391,475
392,476
393,477
394,478
395,479
396,480
397,481
398,482
399,483
400,484
401,485
402,486
403,487
404,488
405,489
406,490
407,491
408,492
409,493
410,494
411,495
412,496
413,497
414,498
415,499
416,500
417,501
418,502
419,503
420,504
421,505
422,506
423,507
424,508
425,509
426,510
427,511
428,512
429,513
430,514
431,515
432,516
433,517
434,518
435,519
436,520
437,521
438,522
439,523
440,524
441,525
442,526
443,527
444,528
445,529
446,530
447,531
448,532
218,298
219,299
226,308
203,281
173,248
175,251
176,252
23,73
24,74
25,75
26,76
28,79
29,80
62,121
63,122
66,125
67,126
64,123
65,124
68,127
69,128
72,131
73,132
